Patent ID,IPC
CN102058557,A61K003164
CN102058557,A61K004726
CN102058557,A61K004732
CN102058557,A61K004738
CN102058557,A61P000310
CN102058583,A61K0031424
CN102058583,A61K000919
CN102058583,A61K0031431
CN102058583,A61P003104
CN102058602,A61K0031549
CN102058602,A61K00314178
CN102058602,A61K004712
CN102058602,A61K004718
CN102058602,A61P000912
CN102058604,A61K003157
CN102058604,A61K0031565
CN102058604,A61P000530
CN102085175,A61K000900
CN102085175,A61K00315377
CN102085175,A61K00315575
CN102085175,A61K004710
CN102085175,A61K004732
CN102085175,A61K004736
CN102085175,A61K004738
CN102085175,A61P002706
CN102091069,A61K00314422
CN102091069,A61K000920
CN102091069,A61K000948
CN102091069,A61K003141
CN102091069,A61P000900
CN102106853,A61K00314422
CN102106853,A61K00314184
CN102106853,A61P000912
CN102114018,A61K0031455
CN102114018,A61K000924
CN102114018,A61K0031404
CN102114018,A61P000306
CN102125561,A61K00315415
CN102125561,A61K000900
CN102125561,A61K000916
CN102125561,A61K00314184
CN102125561,A61P000912
CN102125563,A61K0031549
CN102125563,A61K000948
CN102125563,A61K00314184
CN102125563,A61K00314422
CN102125563,A61P000912
CN102138920,A61K00314184
CN102138920,A61K000920
CN102138920,A61K0031549
CN102138920,A61K004732
CN102138920,A61K004738
CN102138920,A61P000912
CN102160859,A61K0031137
CN102160859,A61K000962
CN102160859,A61K00314545
CN102160859,A61P003116
CN102166208,A61K0031401
CN102166208,A61K0009127
CN102166208,A61K0031549
CN102166208,A61K004724
CN102166208,A61K004728
CN102166208,A61P000900
CN102166208,A61P000910
CN102166208,A61P000912
CN102188402,A61K000924
CN102188402,A61K003122
CN102188402,A61K0031366
CN102188402,A61K0031455
CN102188402,A61K004738
CN102188402,A61P000306
CN102188419,A61K003140
CN102188419,A61K0031216
CN102188419,A61P000306
CN102188427,A61K0031455
CN102188427,A61K000924
CN102188427,A61K000952
CN102188427,A61K0031366
CN102188427,A61P000306
CN102188466,A61K0036258
CN102188466,A61K003560
CN102188466,A61P002524
CN102198129,A61K00314184
CN102198129,A61K000928
CN102198129,A61K0031549
CN102198129,A61P000904
CN102198129,A61P000912
CN102198132,A61K00314439
CN102198132,A61K0009127
CN102198132,A61K000952
CN102198132,A61K0031192
CN102198132,A61K004734
CN102198132,A61K004736
CN102198132,A61K004738
CN102198132,A61P000104
CN102198132,A61P002900
CN102210693,A61K0031616
CN102210693,A61K000928
CN102210693,A61K0031519
CN102210693,A61P000702
CN102218064,A61K0031451
CN102218064,A61K000930
CN102218064,A61K0031155
CN102218064,A61P000310
CN102218064,C07D0295135
CN102225202,A61K004500
CN102225202,A61K000948
CN102225202,A61K00314439
CN102225202,A61K0031616
CN102225202,A61P000702
CN102247343,A61K0031155
CN102247343,A61K000928
CN102247343,A61K00314439
CN102247343,A61P000310
CN102247344,A61K0031165
CN102247344,A61K0031216
CN102247344,A61K0031401
CN102247344,A61K0031403
CN102247344,A61K003141
CN102247344,A61K00314178
CN102247344,A61K00314184
CN102247344,A61K00314422
CN102247344,A61K0031549
CN102247344,A61K003155
CN102247344,A61K0031675
CN102247344,A61P000912
CN102247367,A61K00314422
CN102247367,A61K000920
CN102247367,A61K000948
CN102247367,A61K00314184
CN102247367,A61P000912
CN102247376,A61K0031549
CN102247376,A61K000928
CN102247376,A61K003141
CN102247376,A61P000912
CN102258522,A61K0031549
CN102258522,A61K0031401
CN102258522,A61P000912
CN102266310,A61K000952
CN102266310,A61K003148
CN102266310,A61P000910
CN102266326,A61K0031407
CN102266326,A61K0009127
CN102266326,A61K0031198
CN102266326,A61K004724
CN102266326,A61K004728
CN102266326,A61K004732
CN102266326,A61K004734
CN102266326,A61K004736
CN102266326,A61P003104
CN102266328,A61K00314184
CN102266328,A61K00314422
CN102266328,A61K004702
CN102266328,A61K004732
CN102266328,A61K004734
CN102266328,A61K004736
CN102266328,A61K004738
CN102274223,A61K00314422
CN102274223,A61K000916
CN102274223,A61K000928
CN102274223,A61K00314184
CN102274223,A61K004704
CN102274223,A61K004712
CN102274223,A61K004720
CN102274223,A61P000912
CN102274224,A61K00314422
CN102274224,A61K000920
CN102274224,A61K000948
CN102274224,A61K003140
CN102274224,A61P000306
CN102274224,A61P000910
CN102274224,A61P000912
CN102274231,A61K0031513
CN102274231,A61K000948
CN102274231,A61K0031427
CN102274231,A61P003118
CN102276447,C07C005964
CN102276447,A61K000920
CN102276447,A61K0031192
CN102276447,A61K00314045
CN102276447,A61P002506
CN102276447,A61P002900
CN102276447,C07C005143
CN102283829,A61K0031357
CN102283829,A61K000920
CN102283829,A61K0031137
CN102283829,A61P003306
CN102283837,A61K00314422
CN102283837,A61J000307
CN102283837,A61J000310
CN102283837,A61K000920
CN102283837,A61K000948
CN102283837,A61K003141
CN102302497,A61K0031495
CN102302497,A61K000928
CN102302497,A61K0031137
CN102302497,A61P001102
CN102302497,A61P003708
CN102302499,A61K003153
CN102302499,A61K000948
CN102302499,A61K00314412
CN102302499,A61K0031513
CN102302499,A61P003500
CN102309495,A61K003158
CN102309495,A61K000948
CN102309495,A61K003118
CN102309495,A61K0031205
CN102309495,A61P001300
CN102309495,A61P001308
CN102319245,A61K0031451
CN102319245,A61K000920
CN102319245,A61K000948
CN102319245,A61K0031155
CN102319245,A61P000304
CN102319245,A61P000310
CN102319250,A61K0031549
CN102319250,A61K000924
CN102319250,A61K000928
CN102319250,A61K00314184
CN102319250,A61P000912
CN102319251,A61K0031616
CN102319251,A61K000952
CN102319251,A61K0031519
CN102319251,A61P000910
CN102319251,A61P002500
CN102335172,A61K00314422
CN102335172,A61K000928
CN102335172,A61K00314178
CN102335172,A61K004712
CN102335172,A61K004736
CN102335172,A61K004738
CN102335172,A61P000900
CN102335172,A61P000904
CN102335172,A61P000912
CN102335172,A61P001312
CN102335176,A61K0031549
CN102335176,A61K000928
CN102335176,A61K000948
CN102335176,A61K003141
CN102335176,A61K00314422
CN102335176,A61P000912
CN102335176,C07D028528
CN102349896,A61K003143
CN102349896,A61K0031198
CN102349896,A61K0031407
CN102349896,A61P000700
CN102349896,A61P001100
CN102349896,A61P001300
CN102349896,A61P003104
CN102349902,A61K00314422
CN102349902,A61K000920
CN102349902,A61K00314184
CN102349902,A61P000912
CN102349905,A61K00314439
CN102349905,A61K000928
CN102349905,A61K0031155
CN102349905,A61P000310
CN102349905,C07C027708
CN102349905,C07C027926
CN102362860,A61K000912
CN102362860,A61K0031167
CN102362860,A61K003158
CN102362860,A61K004706
CN102362860,A61M001104
CN102362860,A61P001100
CN102362860,A61P001106
CN102366406,A61K000912
CN102366406,A61K0031137
CN102366406,A61K004706
CN102366406,A61P001106
CN102366406,F16J001200
CN102370639,A61K00314045
CN102370639,A61K0031192
CN102370639,A61P002506
CN102370965,A61K003805
CN102370965,A61K00314422
CN102370965,A61P000912
CN102370989,A61K004704
CN102370989,A61K004702
CN102370989,A61P001310
CN102389433,A61K00315575
CN102389433,A61K00315377
CN102389433,A61P000912
CN102389433,A61P002706
CN102389436,A61K0031616
CN102389436,A61K00314365
CN102389436,A61P000702
CN102406614,A61K000914
CN102406614,A61K0031424
CN102406614,A61K003143
CN102406614,A61P003104
CN102423313,A61K00314439
CN102423313,A61K000928
CN102423313,A61K0031155
CN102423313,A61P000310
CN102423482,A61K003805
CN102423482,A61K000920
CN102423482,A61K00314422
CN102423482,A61K004710
CN102423482,A61P000912
CN102440993,A61K003155
CN102440993,A61K000920
CN102440993,A61K00314422
CN102440993,A61K004704
CN102440993,A61K004736
CN102440993,A61P000912
CN102485233,A61K00317072
CN102485233,A61K000920
CN102485233,A61K0031513
CN102485233,A61K0031551
CN102485233,A61P003118
CN102512423,A61K0031549
CN102512423,A61K000930
CN102512423,A61K00314184
CN102512423,A61P000912
CN102525991,A61K000930
CN102525991,A61K0031155
CN102525991,A61K00314439
CN102525991,A61P000310
CN102526048,A61K00314422
CN102526048,A61K000930
CN102526048,A61K00314184
CN102526048,A61P000912
CN102526061,A61K0031549
CN102526061,A61K003141
CN102526061,A61K00314422
CN102526061,A61K004710
CN102526061,A61K004738
CN102526061,A61P000912
CN102526068,A61K0031567
CN102526068,A61K000920
CN102526068,A61K0031565
CN102526068,A61P001512
CN102526068,A61P001910
CN102526748,A61K004736
CN102526748,A61K000920
CN102526748,A61K003141
CN102526748,A61K00314422
CN102526748,A61K0031549
CN102526748,A61P000910
CN102526748,A61P000912
CN102552143,A61K0009127
CN102552143,A61K000948
CN102552143,A61K0031216
CN102552143,A61K003122
CN102552143,A61K0031366
CN102552143,A61K004720
CN102552143,A61K004726
CN102552143,A61K004732
CN102552143,A61P000306
CN102552204,A61K000930
CN102552204,A61K0031133
CN102552204,A61K0031496
CN102552204,A61K00314965
CN102552204,A61K004738
CN102552204,A61K004740
CN102552204,A61P003106
CN102579431,A61K0031407
CN102579431,A61K0031198
CN102579431,A61K004702
CN102579431,A61P003104
CN102579447,A61K00314965
CN102579447,A61K000920
CN102579447,A61K0031133
CN102579447,A61K00314409
CN102579447,A61K0031496
CN102579447,A61P003106
CN102600173,A61K003155
CN102600173,A61K0009127
CN102600173,A61K000920
CN102600173,A61K00314422
CN102600173,A61K004724
CN102600173,A61K004728
CN102600173,A61P000900
CN102614185,A61K0031549
CN102614185,A61K000920
CN102614185,A61K003141
CN102614185,A61P000912
CN102614186,A61K0031549
CN102614186,A61K0009127
CN102614186,A61K0031138
CN102614186,A61K004728
CN102614186,A61P000912
CN102614188,A61K0031549
CN102614188,A61K000948
CN102614188,A61K003141
CN102614188,A61K00314422
CN102614188,A61K004738
CN102614188,A61P000912
CN102614189,A61K0031549
CN102614189,A61K000948
CN102614189,A61K003141
CN102614189,A61K00314422
CN102614189,A61P000912
CN102614190,A61K0031549
CN102614190,A61K000920
CN102614190,A61K003141
CN102614190,A61K00314422
CN102614190,A61K004738
CN102614190,A61P000912
CN102626391,A61K0009127
CN102626391,A61K0031165
CN102626391,A61K0031549
CN102626391,A61K004728
CN102626391,A61P000710
